,s-2,s-1,a,r,none
1020,2,0,2,1,
1021,0,2,0,0,
1022,2,0,2,0,
1023,0,2,5,-1,
1024,2,5,0,-1,
1025,5,0,2,1,
1026,0,2,0,-1,
1027,2,0,2,0,
1028,0,2,0,-1,
1029,2,0,2,1,
1030,0,2,0,-1,
1031,2,0,2,1,
1032,0,2,0,-1,
1033,2,0,1,1,
1034,0,1,1,0,
1035,1,1,0,0,
1036,1,0,3,1,
1037,0,3,0,-1,
1038,3,0,2,1,
1039,0,2,1,-1,
1040,2,1,0,-1,
1041,1,0,2,-1,
1042,0,2,0,0,
1043,2,0,4,1,
1044,0,4,0,-1,
1045,4,0,1,0,
1046,0,1,1,-1,
1047,1,1,5,-1,
1048,1,5,0,1,
1049,5,0,1,0,
1050,0,1,1,0,
1051,1,1,0,1,
1052,1,0,2,-1,
1053,0,2,1,1,
1054,2,1,1,0,
1055,1,1,2,0,
1056,1,2,1,0,
1057,2,1,3,0,
1058,1,3,0,0,
1059,3,0,2,0,
1060,0,2,4,1,
1061,2,4,1,0,
1062,4,1,1,-1,
1063,1,1,0,-1,
1064,1,0,1,0,
1065,0,1,5,-1,
1066,1,5,0,-1,
1067,5,0,2,-1,
1068,0,2,1,0,
1069,2,1,5,-1,
1070,1,5,0,-1,
1071,5,0,2,1,
1072,0,2,4,1,
1073,2,4,0,0,
1074,4,0,2,1,
1075,0,2,1,0,
1076,2,1,1,-1,
1077,1,1,0,-1,
1078,1,0,2,1,
1079,0,2,1,0,
1080,2,1,4,-1,
1081,1,4,0,-1,
1082,4,0,2,0,
1083,0,2,1,0,
1084,2,1,2,-1,
1085,1,2,1,0,
1086,2,1,2,1,
1087,1,2,5,-1,
1088,2,5,2,1,
1089,5,2,2,1,
1090,2,2,2,0,
1091,2,2,2,1,
1092,2,2,2,-1,
1093,2,2,2,0,
1094,2,2,2,1,
1095,2,2,2,0,
1096,2,2,1,0,
1097,2,1,2,0,
1098,1,2,2,1,
1099,2,2,2,0,
1100,2,2,2,0,
1101,2,2,2,0,
1102,2,2,2,0,
1103,2,2,2,-1,
1104,2,2,2,-1,
1105,2,2,2,-1,
1106,2,2,3,1,
1107,2,3,3,-1,
1108,3,3,3,-1,
1109,3,3,3,-1,
1110,3,3,4,1,
1111,3,4,2,1,
1112,4,2,2,1,
1113,2,2,2,1,
1114,2,2,3,-1,
1115,2,3,2,1,
1116,3,2,2,1,
1117,2,2,2,0,
1118,2,2,2,0,
1119,2,2,1,0,
1120,2,1,2,1,
1121,1,2,1,0,
1122,2,1,2,-1,
1123,1,2,1,0,
1124,2,1,1,0,
1125,1,1,1,0,
1126,1,1,1,0,
1127,1,1,1,0,
1128,1,1,1,0,
1129,1,1,1,0,
1130,1,1,1,-1,
1131,1,1,0,-1,
1132,1,0,1,1,
1133,0,1,1,0,
1134,1,1,1,0,
1135,1,1,4,-1,
1136,1,4,1,-1,
1137,4,1,2,1,
1138,1,2,1,1,
1139,2,1,2,1,
1140,1,2,1,0,
1141,2,1,2,1,
1142,1,2,1,0,
1143,2,1,2,-1,
1144,1,2,1,0,
1145,2,1,0,-1,
1146,1,0,1,0,
1147,0,1,0,-1,
1148,1,0,1,0,
1149,0,1,1,-1,
1150,1,1,2,0,
1151,1,2,2,-1,
1152,2,2,2,0,
1153,2,2,2,-1,
1154,2,2,2,1,
1155,2,2,2,0,
1156,2,2,2,-1,
1157,2,2,2,0,
1158,2,2,2,0,
1159,2,2,2,-1,
1160,2,2,2,0,
1161,2,2,2,1,
1162,2,2,2,0,
1163,2,2,1,-1,
1164,2,1,2,1,
1165,1,2,3,1,
1166,2,3,2,1,
1167,3,2,4,-1,
1168,2,4,2,1,
1169,4,2,2,1,
1170,2,2,2,-1,
1171,2,2,2,-1,
1172,2,2,2,0,
1173,2,2,2,-1,
1174,2,2,2,-1,
1175,2,2,2,1,
1176,2,2,2,0,
1177,2,2,2,0,
1178,2,2,4,-1,
1179,2,4,3,1,
1180,4,3,2,1,
1181,3,2,2,1,
1182,2,2,2,0,
1183,2,2,2,1,
1184,2,2,2,0,
1185,2,2,2,0,
1186,2,2,2,0,
1187,2,2,2,0,
1188,2,2,2,0,
1189,2,2,2,1,
1190,2,2,3,1,
1191,2,3,2,1,
1192,3,2,2,-1,
1193,2,2,2,1,
1194,2,2,0,-1,
1195,2,0,1,0,
1196,0,1,3,1,
1197,1,3,2,1,
1198,3,2,2,1,
1199,2,2,4,1,
1200,2,4,2,1,
1201,4,2,3,-1,
1202,2,3,2,1,
1203,3,2,2,0,
1204,2,2,2,1,
1205,2,2,2,1,
1206,2,2,2,1,
